File,Class/Enum,Symbol,Type,Parameters,Description
lib/Lowlevel/Robot.h,RobotC,Turn,function,double Angle,"Rotate the robot in place toward the specified heading (degrees). Uses the global PID controller to generate a uniform speed for all four wheels. If the compile-time flag TURN_TO_GOAL is true the provided Angle argument is ignored and Goal.Angle is used instead. Useful for precise orientation before a drive or kick."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_set,function,double Dir; double Angle; int sollSpeed; int istSpeed,"Prepare a smoothed driving transition by storing the desired movement direction (Dir), target orientation (Angle), requested speed (sollSpeed) and current speed (istSpeed). The smoothing subsystem will interpolate between istSpeed and sollSpeed over time to avoid jerky motion."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_Update,function,,"Execute one update step of the smoothed drive controller. Should be called periodically (e.g., each loop iteration). Adjusts motor outputs to gradually approach the target speed without abrupt jumps, using Drive_Smoothed_Faktor from Param.h."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_Kill,function,,"Cancel any ongoing smoothing operation, reset internal timing/state variables and allow immediate speed changes again. Call when a sudden stop or new command is required."
lib/Lowlevel/Robot.h,RobotC,Drive,function,double Dir; double Angle=200000; int Speed1=HighSpeed,"Compute and set individual wheel velocities to drive in direction Dir (degrees) while maintaining orientation Angle. A PID controller corrects heading errors. Velocities are normalized so the largest wheel matches Speed1, preventing saturation. Passing Dir==1000 triggers Stop(). If TURN_TO_GOAL flag is set, Angle is replaced with Goal.Angle. Ideal for omnidirectional movement."
lib/Lowlevel/Robot.h,RobotC,Stop,function,,"Shut off all four drive motors immediately by invoking Motor.Off on each port. Leaves motors coasting."
lib/Lowlevel/Robot.h,RobotC,Break,function,,"Apply active braking to every drive motor via Motor.Break; useful for quick stops or controlling inertia. Sets both direction pins to same state to short the motor."
lib/Lowlevel/Robot.h,RobotC::KickerC,Once,function,,"Issue a single 150 ms high pulse on the kicker output pin. After the pulse completes the line is driven low automatically. Non-blocking; timing handled by Update(). Intended for a single shot when ball is in position."
lib/Lowlevel/Robot.h,RobotC::KickerC,On,function,int Cycletime,"Start repetitive kicker firing. Each cycle consists of a 150 ms high pulse followed by a low interval of (Cycletime–150) ms. `Cycletime` in milliseconds must exceed 150. Continues until Off() is called. Useful for rapid-fire scenarios."
lib/Lowlevel/Robot.h,RobotC::KickerC,Off,function,,"Stop any active kicker sequence and ensure the output pin is held low. Resets internal state so that another Once() or On() call can be performed without residual timing."
lib/Lowlevel/Robot.h,RobotC::KickerC,Update,function,,"Internal helper called from System.Update.Sensors() every loop. Manages elapsed time (Kicker_Timer) and toggles the output pin for both single and cyclic modes, enforcing minimum high-time (150 ms) and maximum (1 s) for safety."
lib/Lowlevel/Motor.h,MotorC,init,function,,"Configure the four PWM speed pins and four direction expander pins as outputs. Set the PWM frequency according to Motor_Frequency parameter so that motor electronics respond smoothly. Call once at startup."
lib/Lowlevel/Motor.h,MotorC,On,function,int Speed; int Motor,"Drive the specified motor port at signed speed value (-100..+100). The parameter is scaled to the 0–255 PWM range; sign determines direction and sets the appropriate expander bits. Negative speed rotates motor opposite."
lib/Lowlevel/Motor.h,MotorC,Off,function,int Motor,"Disable PWM and set both expander direction pins low to electrically disconnect the motor from supply, causing it to coast."
lib/Lowlevel/Motor.h,MotorC,Break,function,int Motor,"Assert both expander direction pins to the same level to effectively short the motor terminals and actively brake rotation, providing quick halting."
lib/Lowlevel/US.h,USC,init,function,,"Initialize the ultrasonic system by resetting the US_Timer1 timer to zero. Called during system setup."
lib/Lowlevel/US.h,USC,read,function,,"Periodically poll the left and right ultrasonic sensors over I2C. Converts raw 16‑bit readings into Distance_raw array and computes signed Distance representing the nearer obstacle. Respect US_Frequency from Param.h."
lib/Lowlevel/Cam.h,CamC,read,function,,"Parse incoming serial message from Pixy camera module. Updates x,y pixel coordinates, area, goal color flag and other fields used by vision algorithms (e.g., CamCalc). Must be called frequently to consume serial data."
lib/Lowlevel/Cam.h,GoalC,N/A,data struct,Angle; Distance; X; Y; Area; inSight; lastdir,"Data container for the most recent goal detected by the camera. Angle/Distance are polar coordinates relative to robot heading; X/Y are raw image coordinates; Area is blob size; inSight indicates detection; lastdir records previous sign of angle. Typically filled by vision routine."
lib/Lowlevel/Debug.h,DebugC,Start,function,,"Clear the internal plotting buffer and prepend an identifier marker. Should be called once per debug frame to begin collecting new data points."
lib/Lowlevel/Debug.h,DebugC,Plot,function,const String &Name; double Value,"Append a `Name:Value` pair to the buffer, formatted for compatibility with the VSC Serial Plotter. Use descriptive names for easier visualization."
lib/Lowlevel/Debug.h,DebugC,Plot_List,function,const String names[]; const double Values[]; size_t count,"Construct a comma-separated line containing multiple name/value pairs from parallel arrays; useful when plotting many signals in one shot without multiple Plot() calls."
lib/Lowlevel/Debug.h,DebugC,Send,function,bool BLE=true,"Transmit the accumulated buffer over Serial.println by default, or over UART_Pixy when BLE is false. Empties buffer after send."
lib/Lowlevel/Expander.h,ExpanderC::I2CC,init,function,int Add; int Mode; int on_off=All_Off,"Initialize an I2C expander at address `Add`. `Mode` sets direction bits (input/output), and `on_off` defines the default output state (e.g., All_On)."
lib/Lowlevel/Expander.h,ExpanderC::I2CC,read,function,int Add,"Read input register from I2C expander at address Add; updates internal Switch array."
lib/Lowlevel/Expander.h,ExpanderC::I2CC,give,function,int Add; int Port,"Return the boolean state of the given port on the expander previously read."
lib/Lowlevel/Expander.h,ExpanderC::I2CC,write,function,int Add; int Port; bool Zustand,"Set output Port to Zustand on expander address Add (read-modify-write cycle)."
lib/Lowlevel/Expander.h,ExpanderC::I2CC,write_Single,function,int Add; int Port; bool Zustand,"Write a single expander output without altering other bits."
lib/Lowlevel/Expander.h,ExpanderC::ADCC,init,function,int Port,"Initialize ADC multiplexer on the specified port (CS_LineA..VW)."
lib/Lowlevel/Expander.h,ExpanderC::ADCC,read,function,int Port,"Read all eight ADC values from the given port into internal buffers."
lib/Lowlevel/Expander.h,ExpanderC::ADCC,give_digital,function,int Port; int Pin,"Return a digital thresholded value (0/1) for ADC channel Pin on Port."
lib/Lowlevel/Expander.h,ExpanderC::ADCC,give,function,int Port; int Pin,"Return raw ADC reading for channel Pin on Port."
lib/Lowlevel/IR.h,IRC,read,function,,"Scan the 16‑element IR array, update IR_Values, compute Distance and Angle fields."
lib/Lowlevel/IR.h,IRC,GetData,function,int Port,"Retrieve raw sensor reading from one IR ring sensor via expander and return it."
lib/Lowlevel/IR.h,IRC,GetTSSP,function,,"Read the TSSP demodulated value from the analog input (used for ball detection)."
lib/Lowlevel/IR.h,IRC,init,function,,"Initialize IR subsystem, reset calibration values."
lib/Lowlevel/IR.h,IRC,Calib_Offset,function,,"Perform offset calibration of IR sensors by sampling ambient values."
lib/Lowlevel/IR.h,IRC,Calib_Dist,function,,"Calibrate distance measurement scaling factor using current readings."
lib/Lowlevel/IR.h,BallC,N/A,data struct,Angle; Distance; inSight,"Simple struct holding computed ball angle, distance and visibility flag."
lib/Lowlevel/LDR.h,LDRC,init,function,,"Configure the LDR pin as input and perform any required startup calibration."
lib/Lowlevel/LDR.h,LDRC,Aktiv,function,bool Check=false,"Return whether the LDR detects light above threshold; if Check is true perform a fresh analogRead first."
lib/Lowlevel/Line.h,LineC,read,function,,"Poll line sensors via ADC expanders and fill Raw array; compute Summe."
lib/Lowlevel/Line.h,LineC,read_VW,function,,"Read virtual wall sensors (Raw_VW) and update Summe_VW."
lib/Calculations/LineCalculations.h,LineCalcC,Calc,function,,"Analyze the raw line sensor data to compute RawAngle, Distance and DriveAngle. Handles different cases when virtual wall is detected."
lib/Calculations/BallCalculations.h,BallCalcC,getAngle,function,double inAngle; double dist,"Compute a corrected drive angle based on ball direction and distance, applying different arc paths for various ranges."
lib/Calculations/BallCalculations.h,BallCalcC,CalcAngle,function,,"Aggregate IR readings to derive absolute ball angle and normalize to ±180 degrees; zero angle when too close."
lib/Calculations/BallCalculations.h,BallCalcC,CalcDist,function,,"Sum IR values to estimate distance; apply piecewise formula to map sensor average to a physical distance. Also sets Ball.inSight."
lib/Calculations/BallCalculations.h,BallCalcC,calcTorAngle,function,,"Placeholder for calculating angle to the goal (currently TODO)."
lib/Calculations/CamCalc.h,CamCalcC,Angle,function,,"Process camera data and update Goal.Angle (implementation currently empty, may rely on Pixy output)."
lib/Taktics/Attacker.h,AttackerTacticsC,step,function,,"Main per-cycle logic for attacker behaviour; decides movement and kicker actions."
lib/Taktics/Attacker.h,AttackerTacticsC,BallCaught,function,,"Called when the ball is secured; adjust tactics accordingly."
lib/Taktics/Attacker.h,AttackerTacticsC,Ballsearch,function,,"Search routine executed when ball not visible."
lib/Taktics/Defender.h,DefenderTacticsC,step,function,,"Per-cycle decision making for defender, including positioning relative to goal and opponents."
lib/Taktics/Defender.h,DefenderTacticsC,BallCaught,function,,"Handle events when ball comes into defender's control."
lib/Taktics/Defender.h,DefenderTacticsC,Defence,function,,"Special defensive manoeuvres (e.g. blocking or clearing)."
lib/Taktics/Elementar_Taktics.h,Elem_TakticsC,Ballsearch,function,,"Basic ball-searching routine used by multiple tactics."
lib/Taktics/Elementar_Taktics.h,Elem_TakticsC,BallCaught,function,,"Common response when ball caught, such as stopping or reorienting."
lib/Taktics/Elementar_Taktics.h,Elem_TakticsC,CornerRightEscape,function,,"Maneuver to exit the right corner area, avoiding collisions."
lib/Taktics/Elementar_Taktics.h,Elem_TakticsC,CornerLeftEscape,function,,"Maneuver to exit the left corner area."
lib/Taktics/Elementar_Taktics.h,Elem_TakticsC,step,function,,"General entry point for elemental tactics; may delegate to above methods."
lib/Taktics/Game_Thread.h,GameC,Run,function,,"Top-level game loop called by main; orchestrates attacker/defender behaviour based on system state."
lib/System/System.h,SystemC,Start_Update,function,,"Read Start button state via digitalReadFast(Start_Port); updates System.Start flag used to trigger gameplay."
lib/System/System.h,SystemC,Button_Update,function,,"Read I2C expander and update System.Button[4] and System.Switches[3]; includes debouncing via periodic polling."
lib/System/System.h,SystemC::initC,Sensors,function,,"Initialize all sensors and peripherals: configure pins, init ADC channels, IR, BNO055, US, Mouse, LDR and camera interfaces. Called once at startup."
lib/System/System.h,SystemC::initC,Interface,function,,"Initialize user interface: RGB.init() and Expander.I2C.init(I2C_ITF_Main, Input_Mode)."
lib/System/System.h,SystemC::initC,Motors,function,,"Initialize motor hardware by calling Motor.init() and preparing PWM outputs."
lib/System/System.h,SystemC::UpdateC,Sensors,function,,"Run per-cycle sensor updates: Mouse.read(), Cam.read(), Expander.ADC.read(), IR.read(), Line.read(), US.read()."
lib/System/System.h,SystemC::UpdateC,Interface,function,,"Periodic interface update triggered by Interface_Timer; calls Button_Update() at defined Interface_Frequency."
lib/System/System.h,SystemC::UpdateC,Calculations,function,,"Invoke high-level calculations each cycle: LineCalc.Calc(), PID.Calculate(), BallCalc calculations and CamCalc.Angle()."
lib/System/System.h,SystemC,Start,data,bool,"Current Start button state (true when pressed)."
lib/System/System.h,SystemC,Button,data,bool[4],"Array holding debounced button states read from I2C expander (index 0..3)."
lib/System/System.h,SystemC,Switches,data,bool[4],"Array holding physical switch states used for mode selection (index 0..3)."
lib/System/System.h,SystemC,Sys_LED,data,bool,"Status LED state for basic system feedback."
lib/System/System.h,SystemTimers,Interface_Timer,data,elapsedMillis,"Timer used to schedule interface/button updates at Interface_Frequency."
lib/System/System.h,SystemTimers,Schuss_Timer,data,elapsedMillis,"Timer used for shot/kicker timing and debounce related to schuss actions."
lib/System/System.h,SystemTimers,Cycle_Timer,data,elapsedMicros,"High-resolution microsecond timer used to measure loop duration (Cycletime)."
lib/Elementar/Utils.h,UtilsC,isinRange,function,double In; double min; double max,"Return true when In is strictly between min and max. Used for simple validation checks in algorithms."
lib/Elementar/structs.h,Vec2,data struct,x; y,"2D vector helper with magnitude() and angle() utilities and operator + / - for quick math."
lib/Elementar/structs.h,Angle,data struct,theta,"Angle wrapper storing radians and providing setDeg/addDeg/toDeg helpers and arithmetic operators."
lib/Elementar/Globals.h,Globals,Cycletime,data,int,"Stores measured loop time (ms) for diagnostics and plotting (updated each main loop)."
lib/Elementar/Globals.h,Globals,MainSpeed,data,int,"Global variable indicating the selected main speed (e.g., HighSpeed or LowSpeed)."
lib/Elementar/Param.h,Param,HighSpeed,data,int,"Configured high speed used by motion routines (Default: 30). Adjust to increase top speed during gameplay."
lib/Elementar/Param.h,Param,LowSpeed,data,double,"Configured low speed used for precise maneuvers (Default: 10)."
lib/Elementar/Param.h,Param,Kp,data,double,"Proportional gain for heading PID controller; affects responsiveness to heading error."
lib/Elementar/Param.h,Param,Kd,data,double,"Derivative gain for heading PID controller; damps oscillations based on error rate."
lib/Elementar/Param.h,Param,Ki,data,double,"Integral gain for heading PID controller; accumulates steady-state error correction."
lib/Elementar/Param.h,Param,Drive_Smoothed_Faktor,data,double,"Smoothing factor applied by Drive_Smoothed subsystem to interpolate speeds (0..1). Higher values approach target faster."
lib/Elementar/Param.h,Param,PID_Mult,data,double,"General multiplier used in various PID-related computations to scale outputs."
lib/Elementar/Param.h,Param,PID_Konstante,data,double,"Fallback or alternative PID constant used in legacy control paths."
lib/Elementar/Param.h,Param,LDR_Schwelle,data,int,"Threshold for LDR sensor to detect ball or bright object; used by LDR.Aktiv()."
lib/Elementar/Param.h,Param,Line_Schwelle,data,int,"Threshold used by line sensors to decide line presence in analog readings."
lib/Elementar/Param.h,Param,Motor_Frequency,data,int,"PWM frequency applied to motor speed outputs; tune to avoid audible noise and match motor driver requirements."
lib/Elementar/Param.h,Param,Interface_Frequency,data,int,"Frequency (Hz) for UI/button polling (Interface_Update)."
lib/Elementar/Param.h,Param,US_Frequency,data,int,"Ultrasonic polling frequency (Hz) for US.read()."
lib/Elementar/Param.h,Param,FocalLength,data,int,"Camera focal length constant used in simple distance calculations from image size."
lib/Elementar/Param.h,Param,ImageWidth,data,int,"Camera image width (pixels) used by vision calculations."
lib/Elementar/Param.h,Param,ImageHeight,data,int,"Camera image height (pixels) used by vision calculations."
lib/Elementar/Param.h,Param,ObjectSize,data,double,"Estimated real-world object height (e.g., ball) used when converting image blob size to distance."
lib/Elementar/Param.h,Param,distFactor,data,double,"Distance factor used as multiplier or calibration constant in vision/distance math."
lib/Elementar/Param.h,Param,TURN_TO_GOAL,data,bool,"Feature flag: when true, Drive/Turn use Goal.Angle instead of passed Angle (useful for auto-aim)."
lib/Elementar/Param.h,Param,IR_Pos,data,int[8],"Positions mapping for the 8 IR receiver pairs; used for indexing and mapping sensor geometry."
lib/Elementar/Param.h,Param,Ir_Min,data,int[8],"Per-sensor minimum calibration values for IR sensors."
lib/Elementar/Param.h,Param,Ir_Max,data,int[8],"Per-sensor maximum calibration values for IR sensors."
lib/Elementar/Elementar.h,Elementar,Includes,file,,"Common header that includes Arduino, enums, Globals, Utils, Param and elapsedMillis. Include this in modules to get core definitions."
src/main.cpp,main,setup,function,,"Startup sequence: SPI.begin(), initialize System.init sensors/motors/interface, and start Serial/UART ports for debugging and Pixy."
src/main.cpp,main,loop,function,,"Main runtime loop: calls System.Update.Sensors/Interface/Calculations, runs Debug plotting, toggles Game.Run when System.Start and Mouse.lift are true, handles button-triggered calibrations and switch-based mode selection, and updates Cycletime."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_aktive,data,int,"Flag indicating whether drive smoothing is active (0 = off, >0 = active). Used to gate smoothing logic in Drive_Smoothed_Update()."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_start,data,double,"Initial smoothed speed at start of smoothing; used as reference to interpolate towards `Drive_Smoothed_optimal`."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_optimal,data,double,"Target smoothed value computed from desired speed; smoothing logic moves current value toward this optimal."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_Dir,data,double,"Smoothed direction value used by Drive() routines when smoothing is active."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_Angle,data,double,"Smoothed angle used as the target heading during smoothed maneuvers."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_last,data,double,"Last smoothed output value; used to compute `Drive_Smoothed_diff` for rate-limited updates."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_diff,data,double,"Difference between last and current smoothed values; used for detecting convergence and limiting step sizes."
lib/Lowlevel/Robot.h,RobotC,Drive_Smoothed_diffnow,data,double,"Transient difference measured during the current update cycle; used for internal smoothing decisions."
lib/Lowlevel/Robot.h,RobotC,Kicker,data,KickerC,"Public kicker controller instance. Provides `Once()`, `On()`, `Off()` and `Update()` methods; represents the robot's shot actuator."
lib/Lowlevel/IR.h,IRC,Distance_raw,data,double,"Raw computed distance estimate before smoothing/calibration; useful for diagnostics and calibration routines."
lib/Lowlevel/IR.h,IRC,Distance_raw2,data,double,"Secondary raw distance channel used for alternative scaling or averaging."
lib/Lowlevel/IR.h,IRC,Angle,data,double,"Computed bearing to detected IR source (ball) in degrees; zero is robot forward."
lib/Lowlevel/IR.h,IRC,Distance,data,double,"Calibrated distance to IR source after applying `DistCal` and `DistFaktor`."
lib/Lowlevel/IR.h,IRC,IR_Values,data,double[16],"Array of the 16 raw IR sensor readings (per-sensor values). Used by BallCalculations to compute angle and distance."
lib/Lowlevel/IR.h,IRC,TSSP,data,double,"TSSP demodulated sensor value used for ball detection; higher values indicate detected modulated signal."
lib/Lowlevel/IR.h,IRC,DistCal,data,double,"Calibration value used to convert raw sums into physical distance units."
lib/Lowlevel/IR.h,IRC,DistFaktor,data,double,"Multiplicative calibration factor for fine-tuning distance output."
lib/Lowlevel/IR.h,BallC,Angle,data,double,"Ball bearing in degrees relative to robot front; positive/negative convention follows IR aggregation code."
lib/Lowlevel/IR.h,BallC,Distance,data,double,"Estimated ball distance in centimeters (or unit used throughout project)."
lib/Lowlevel/IR.h,BallC,inSight,data,bool,"Boolean flag indicating whether the ball is currently detected/visible by IR system."
lib/Lowlevel/Line.h,LineC,Summe,data,double,"Aggregated sum of line sensor readings; used to detect overall reflectivity and whether a line is present."
lib/Lowlevel/Line.h,LineC,Raw,data,double[32],"Raw ADC readings for up to 32 line-sensor channels (organized by expanders)."
lib/Lowlevel/Line.h,LineC,Raw_VW,data,double[8],"Raw readings for virtual wall sensors; used to detect boundary/virtual-wall signals."
lib/Lowlevel/Line.h,LineC,Summe_VW,data,double,"Sum over virtual wall sensors similar to `Summe` for line sensors."
lib/Lowlevel/Cam.h,CamC,x,data,int,"X coordinate of detected blob returned by camera/Pixy."
lib/Lowlevel/Cam.h,CamC,y,data,int,"Y coordinate of detected blob returned by camera/Pixy."
lib/Lowlevel/Cam.h,CamC,area,data,int,"Area (size) of detected blob; useful for near/far estimation and target selection."
lib/Lowlevel/Cam.h,CamC,rest,data,int,"Auxiliary return code or additional info field from camera parse (project-specific)."
lib/Lowlevel/Cam.h,CamC,goal,data,bool,"Detected team color for the goal (true = yellow, false = blue)."
lib/Lowlevel/Cam.h,CamC,message,data,String,"Raw camera message string (serial input) kept for debugging and detailed parsing."
lib/Lowlevel/Cam.h,GoalC,Angle,data,double,"Computed goal bearing relative to robot forward in degrees."
lib/Lowlevel/Cam.h,GoalC,Distance,data,double,"Estimated goal distance derived from camera blob size and calibration constants."
lib/Lowlevel/Cam.h,GoalC,X,data,double,"World-space or image-space X coordinate for the goal center, used in higher-level aiming."
lib/Lowlevel/Cam.h,GoalC,Y,data,double,"World-space or image-space Y coordinate for the goal center."
lib/Lowlevel/Cam.h,GoalC,Area,data,double,"Detected goal area (blob size) used in distance estimation and target prioritization."
lib/Lowlevel/Cam.h,GoalC,inSight,data,bool,"True when the goal is detected and valid for aiming; false otherwise."
lib/Lowlevel/Cam.h,GoalC,lastdir,data,bool,"Last direction sign recorded for goal tracking (true = negative, false = positive). Used to stabilize oscillating target angle readings."
lib/Lowlevel/Expander.h,ExpanderC,I2C,data,I2CC,"Public nested object providing I2C expander digital inputs/outputs; contains `give()`/`read()`/`write()` methods and holds per-address Switch/Dip state internally."
lib/Lowlevel/Expander.h,ExpanderC,ADC,data,ADCC,"Public nested ADC multiplexer object used to read analog sensors via the expander (line sensors, LDR, etc.)."
lib/System/System.h,SystemC,Start,data,bool,"System start flag set by Start button read in `Start_Update()`; controls high-level game start behavior."
lib/System/System.h,SystemC,Button,data,bool[4],"Debounced button states read from the I2C expander; used for user-triggered actions."
lib/System/System.h,SystemC,Switches,data,bool[4],"Physical DIP or slide switch states read from expander; used to configure modes at runtime."
lib/System/System.h,SystemC,Sys_LED,data,bool,"Simple status LED state used to indicate system health or operation mode."
lib/Lowlevel/Mouse.h,MouseC,deltaX,data,double,"Measured X velocity from optical mouse sensor (counts per cycle)."
lib/Lowlevel/Mouse.h,MouseC,deltaY,data,double,"Measured Y velocity from optical mouse sensor (counts per cycle)."
lib/Lowlevel/Mouse.h,MouseC,xPos,data,double,"Integrated X position from mouse sensor; useful for odometry when combined with `yPos`."
lib/Lowlevel/Mouse.h,MouseC,yPos,data,double,"Integrated Y position from mouse sensor."
lib/Lowlevel/Mouse.h,MouseC,delta_dist,data,double,"Diagonal velocity magnitude computed from deltaX/deltaY for convenience."
lib/Lowlevel/Mouse.h,MouseC,lift,data,bool,"Flag indicating whether the mouse sensor is lifted (true) — used to suspend odometry updates."
lib/Lowlevel/Mouse.h,MouseC,movement,data,bool,"Flag indicating if the mouse reports movement this cycle."
lib/Lowlevel/Mouse.h,MouseC,pmwId,data,int,"Sensor identifier for the PMW3389 instance assigned to this MouseC."
lib/Lowlevel/PidCalculations.h,PIDC,esum,data,double,"Accumulated integral term used by heading PID controller."
lib/Lowlevel/PidCalculations.h,PIDC,ealt,data,double,"Previous error value used to compute derivative and for integral safety checks."
lib/Lowlevel/PidCalculations.h,PIDC,diffTime,data,double,"Time delta used to normalize derivative and integral calculations."
lib/Lowlevel/PidCalculations.h,PIDC,Out,data,double,"Computed PID output (control signal) produced by Calculate()."
lib/Lowlevel/US.h,USC,Distance_raw,data,double[2],"Raw distance readings from two ultrasonic sensors (or two channels) used for obstacle detection and averaging."
lib/Lowlevel/US.h,USC,Distance,data,double,"Filtered or selected distance value used by higher-level logic."
